event_date,country_id,network_id,client_id,value_usd
2022-07-19,1,10,94,83.139997
2022-07-19,1,10,95,3.000000
2022-07-19,1,10,154,1.600000
2022-07-19,1,10,174,3.800000
2022-07-19,1,10,189,3.000000
2022-07-19,1,60,71,8.932000
2022-07-19,1,60,94,85.619000
2022-07-19,1,60,97,2.636000
2022-07-19,1,60,104,0.574000
2022-07-19,1,60,121,144.935006
2022-07-19,1,60,154,0.698000
2022-07-19,1,60,174,413.269987
2022-07-19,1,60,189,1.249000
2022-07-19,1,60,256,7.714000
2022-07-19,1,60,302,43.200000
2022-07-19,17,10,71,0.860000
2022-07-19,109,10,71,0.150000
2022-07-19,109,10,73,0.450000
2022-07-19,109,10,94,0.240000
2022-07-19,109,10,97,0.180000
2022-07-19,109,10,104,0.640000
2022-07-19,109,10,121,0.640000
2022-07-19,109,10,174,0.720000
2022-07-19,109,10,275,0.640000
2022-07-19,109,60,71,0.900000
2022-07-19,109,60,73,0.100000
2022-07-19,109,60,94,1.271000
2022-07-19,109,60,95,1.175000
2022-07-19,109,60,97,0.118000
2022-07-19,109,60,121,2.158000
2022-07-19,109,60,174,9.311000
2022-07-19,109,60,189,0.146000
2022-07-19,109,60,256,1.476000
2022-07-19,213,60,189,0.300000
2022-07-20,1,10,71,13.990000
2022-07-20,1,10,73,0.570000
2022-07-20,1,10,94,87.619997
2022-07-20,1,10,95,4.000000
2022-07-20,1,10,189,10.000000
2022-07-20,1,60,71,15.803000
2022-07-20,1,60,94,117.111001
2022-07-20,1,60,104,1.198000
2022-07-20,1,60,121,133.112005
2022-07-20,1,60,122,2.400000
2022-07-20,1,60,154,0.698000
2022-07-20,1,60,174,344.004987
2022-07-20,1,60,189,2.498000
2022-07-20,1,60,256,3.000000
2022-07-20,1,60,302,42.100000
2022-07-20,17,10,71,0.860000
2022-07-20,109,10,73,0.420000
2022-07-20,109,10,94,0.240000
2022-07-20,109,10,97,0.180000
2022-07-20,109,10,104,0.480000
2022-07-20,109,10,275,0.260000
2022-07-20,109,60,71,1.500000
2022-07-20,109,60,73,0.100000
2022-07-20,109,60,94,1.101000
2022-07-20,109,60,95,1.410000
2022-07-20,109,60,121,2.566000
2022-07-20,109,60,154,0.260000
2022-07-20,109,60,174,4.822000
2022-07-20,109,60,189,0.146000
2022-07-20,109,60,256,0.537000
2022-07-20,213,60,189,0.900000
2022-07-21,1,10,71,19.470000
2022-07-21,1,10,94,137.609995
2022-07-21,1,10,122,0.150000
2022-07-21,1,10,154,0.800000
2022-07-21,1,10,174,5.700000
2022-07-21,1,10,189,5.000000
2022-07-21,1,60,71,8.932000
2022-07-21,1,60,94,99.280001
2022-07-21,1,60,95,1.500000
2022-07-21,1,60,97,0.740000
2022-07-21,1,60,104,0.574000
2022-07-21,1,60,121,110.801003
2022-07-21,1,60,122,1.200000
2022-07-21,1,60,174,397.317985
2022-07-21,1,60,189,1.249000
2022-07-21,1,60,256,5.000000
2022-07-21,1,60,302,39.800000
2022-07-21,17,60,189,0.300000
2022-07-21,109,10,71,0.150000
2022-07-21,109,10,94,0.240000
2022-07-21,109,10,104,0.800000
